;producto_id;tipo_produccion_id;idioma_id;anio_publica;titulo;palabras_clave
44;147;1;5;2016;Con buen diseño, espaldas sanas Recomendaciones para el diseño y la producción de mobiliario escolar saludable;sedestación|mobiliario escolar|ergonomía|postura saludable
45;152;1;4;2016;Distribution patterns of the abundance of major bacterial and archaeal groups in Patagonian lakes;Bacteria|Archaea|patagonian water bodies|prokaryotic group distribution patterns|CARD-FISH
46;154;1;4;2016;Cell therapy for Parkinson's disease: Functional role of the host immune response on survival and differentiation of dopaminergic neuroblasts;CELL THERAPY|DOPAMINERGIC NEURON|IMMUNE RESPONSE|PARKINSON DISEASE
47;158;1;4;2016;Epoxy Formulation Including an Acrylic Triblock Copolymer Adapted for Use in Filament Winding or Infusion Processes;Acrylic triblock copolymers|Nanostrength block copolymers|Reactive diluent|Toughened epoxies| Toughening agent
48;159;1;5;2016;DIAGNOSTICO AMBIENTAL EN LA ZONA DEL CINTURÓN HORTÍCOLA DE LA CIUDAD DE SANTA FE;AGUAS SUBTERRANEAS|AGROQUIMICOS|HORTICULTURA|CONTAMINACION
49;162;1;4;2016;Increase of calcium and reduction of lactose concentration in milk by treatment with kefir grains and eggshell;CALCIUM|DAIRY MILK|EGGSHELL|KEFIR GRAINS
50;173;1;5;2016;Más allá de las pantallas: experiencias en diseño y programación de objetos interactivos digitales;objetos interactivos|fluidez digital|arduino
51;178;1;4;2016;Forbidden induced subgraphs of normal Helly circular-arc graphs: Characterization and detection;"Certifying algorithms|Linear-time; (proper) interval graphs|Chordal graphs; (minimal) forbidden induced subgraphs|Holes; (normal, Helly, proper) circular-arc models"
52;185;1;4;2016;A polyhedral study of the maximum stable set problem with weights on vertex-subsets;MAXIMUM STABLE SET|INTEGER PROGRAMMING
53;187;1;4;2016;Lithic materials in high fluvial terraces of the central Pyrenean piedmont (Ebro Basin, Spain);PLEISTOCENE|LOWER PALEOLITHIC|MODE 1 AND 2|FLUVIAL TERRACES|CALCRETE
54;193;1;4;2016;Solenoporacean red algae from lower Danian (Paleogene) coral reefs of northern Patagonia, La Pampa, Argentina;Solenoporacean|Algae|Danian|Argentina
55;194;1;5;2016;Medición y Manipulación de Normas Sociales en Juegos Experimentales de Corrupción;experimentos|toma de decisiones|normas|castigo
56;198;1;5;2016;La ?gripe española? en perspectiva médica: los brotes de 1918- 1919 en la escena científica argentina;EPIDEMIA|GRIPE|MÉDICOS|ARGENTINA
57;200;1;5;2016;Interacción entre conservación e investigación en el Área de Antropología Biológica del Museo Etnográfico J. B. Ambrosetti (Facultad de Filosofía y Letras, Universidad de Buenos Aires);PLAN DE MANEJO|RESTOS HUMANOS|INVESTIGACION|INTERDISCIPLINA
58;202;1;5;2016;Estudios experimentales de la percepción desde la profesionalización de la  psicología en Argentina;psicologia experimental|percepcion|laboratorios|Argentina
59;209;1;4;2016;Novel components of leaf bacterial communities of field-grown tomato plants and their potential for plant growth promotion and biocontrol of tomato diseases;ENDOPHYTIC CULTURABLE BACTERIA|BOTRYTIS CINEREA|PSEUDOMONAS SYRINGAE|BIOCONTROL|GROWTH PROMOTION|ANTIMICROBIAL COMPOUNDS
60;211;1;4;2016;Geographic vectors of human mobility in the Andes (34-36°S): comparative analysis of 'minor' obsidian sources;Geoquímica de obsidianas|Biogeografía humana|Arqueología comparativa|Andes
61;221;1;5;2016;Biofumigation with Brassica juncea and Sinapis alba in vitro action to the growth of Trichderma and Azospirillum brasilense;BIOFULMIGACION|BRASSICA|SINAPIS|TRICHODERMA-AZOSPIRILLUM
