persona_id;anio;sexo_id;edad;maximo_grado_academico_id;disciplina_maximo_grado_academico_id;disciplina_titulo_grado_id;disciplina_experticia_id;tipo_personal_id;producciones_ult_anio;producciones_ult_2_anios;producciones_ult_3_anios;producciones_ult_4_anios;institucion_trabajo_id;seniority_level;categoria_conicet_id;categoria_incentivos;max_dedicacion_horaria_docente_id;institucion_cargo_docente_id;clase_cargo_docente_id;tipo_condicion_docente_id
56132;2011;1;31;2;208;208;251;4;0;0;0;0;366;   ;-1;-1;3;1773;18;2
56133;2011;1;37;5;201;201;201;4;0;1;1;1;2061;   ;-1;-1;2;2062;20;2
56135;2011;1;44;2;254;254;7;3;3;7;13;16;520;A  ;-1;2;1;517;18;1
56136;2011;1;60;3;252;107;243;3;5;5;6;9;344;B  ;-1;3;1;344;17;1
56138;2011;1;23;5;45;45;45;1;2;4;4;4;908;D  ;6;-1;1;435;41;1
56140;2011;2;52;5;243;243;224;3;1;2;2;2;251;C  ;-1;4;3;251;20;1
56141;2011;1;39;3;281;251;251;4;-1;-1;-1;-1;568;   ;-1;-1;3;568;49;2
56143;2011;1;33;1;63;62;64;2;0;0;1;2;314;   ;;;;;;
56146;2011;1;46;5;49;49;49;3;5;19;22;26;326;B  ;-1;3;2;331;18;2
56149;2011;1;43;3;235;235;235;2;0;1;1;1;552;   ;;;;;;
56150;2011;1;47;3;271;271;256;3;0;3;3;3;1799;C  ;-1;4;2;9883;17;2
56152;2011;1;56;5;21;21;91;3;0;0;0;0;3367;S/D;-1;-1;2;7386;49;1
56153;2011;1;22;7;-1;-1;223;2;0;1;1;1;374;   ;;;;;;
56154;2011;2;23;7;-1;-1;223;2;1;3;4;4;8760;   ;;;;;;
56157;2011;1;22;-1;-1;-1;36;2;0;0;0;0;8913;   ;;;;;;
56158;2011;1;33;5;23;23;26;1;1;3;4;5;7356;D  ;;;;;;
56159;2011;1;44;5;201;201;201;3;0;0;0;0;2062;S/D;-1;-1;1;2062;18;2
56160;2011;2;51;5;249;249;46;4;1;1;3;5;5854;   ;-1;4;2;491;20;2
56162;2011;1;46;5;173;173;173;4;0;0;0;0;442;   ;-1;-1;3;442;20;1
56166;2011;2;52;2;201;61;64;4;0;0;0;0;8465;   ;-1;-1;3;8465;17;2
56167;2011;1;50;5;252;252;201;3;4;4;5;6;6868;B  ;;;;;;
56168;2011;1;35;5;221;221;284;2;0;0;0;0;315;   ;;;;;;
56169;2011;1;54;5;216;216;216;3;11;12;14;16;1763;B  ;-1;3;3;1763;18;1
56171;2011;2;68;2;196;53;107;3;3;6;9;12;527;A  ;-1;2;1;536;17;2
56176;2011;1;56;2;176;176;250;2;0;0;0;0;586;   ;;;;;;
56177;2011;1;51;3;225;208;281;3;0;0;1;2;366;C  ;-1;4;2;366;20;1
56178;2011;2;25;5;56;56;223;4;0;0;0;0;5223;   ;-1;-1;3;247;21;1
56183;2011;1;34;5;107;107;107;2;-1;-1;-1;-1;8181;   ;;;;;;
56184;2011;1;41;5;279;243;223;4;0;0;0;0;344;   ;-1;-1;3;344;46;1
56188;2011;2;38;5;-1;-1;279;4;3;3;3;3;117;   ;-1;-1;3;117;21;2
56189;2011;2;50;3;271;271;173;2;0;0;0;0;7510;   ;;;;;;
56190;2011;1;47;5;250;250;250;3;2;2;3;3;323;C  ;-1;4;1;323;20;1
56194;2011;1;51;2;201;180;180;3;7;12;19;27;1106;A  ;-1;2;1;1106;18;2
56197;2011;1;22;-1;-1;-1;281;2;0;0;0;0;339;   ;;;;;;
56198;2011;2;47;1;271;271;271;3;11;17;22;22;247;B  ;-1;3;2;5760;17;1
56199;2011;2;22;-1;-1;-1;65;2;-1;-1;-1;-1;4845;   ;;;;;;
56200;2011;1;59;5;278;278;278;3;2;8;15;19;4179;A  ;-1;1;1;239;17;-1
56202;2011;2;57;3;160;125;125;4;1;1;1;1;421;   ;-1;-1;3;421;18;1
56203;2011;2;28;-1;-1;-1;249;2;0;0;0;0;6212;   ;;;;;;
56204;2011;1;24;5;76;76;76;2;1;1;1;1;921;   ;;;;;;
56205;2011;1;39;5;278;278;278;3;3;3;4;5;1363;C  ;-1;5;3;366;46;2
56208;2011;1;40;5;252;252;252;4;2;3;6;6;5351;   ;-1;-1;3;5351;17;1
56209;2011;1;70;1;201;201;223;3;1;1;3;5;671;S/D;-1;-1;2;671;69;1
56214;2011;1;29;5;253;253;253;4;0;0;0;0;1763;   ;-1;-1;3;1763;43;2
56215;2011;2;38;2;261;261;68;4;-1;-1;-1;-1;22;   ;-1;-1;3;575;18;2
56219;2011;2;25;-1;-1;-1;276;2;0;0;0;0;8830;   ;;;;;;
56220;2011;1;44;5;56;56;56;3;0;1;1;3;1548;C  ;-1;5;3;398;21;2
56222;2011;1;56;2;199;5;5;4;1;3;5;5;1602;   ;-1;4;1;1821;19;1
56223;2011;2;38;5;48;48;48;4;0;0;0;0;8437;   ;-1;-1;3;5492;17;2
56224;2011;1;48;1;287;236;287;3;3;6;8;10;8929;A  ;2;2;1;3702;18;1
56225;2011;2;54;3;288;221;221;3;0;0;0;0;1763;C  ;-1;5;3;1763;18;1
56228;2011;2;52;1;275;275;173;4;0;1;1;1;9886;   ;-1;3;1;461;69;1
56230;2011;1;47;3;281;281;281;3;0;0;0;0;4690;C  ;-1;5;2;4690;18;1
56231;2011;1;27;5;249;249;249;1;2;5;11;14;4722;D  ;;;;;;
56233;2011;2;34;2;271;150;50;4;1;3;4;4;6051;   ;-1;-1;3;6051;20;2
56234;2011;2;68;5;61;61;61;3;1;1;1;1;8484;C  ;-1;4;3;6338;19;2
56236;2011;1;31;3;107;107;107;4;0;0;0;0;395;   ;-1;-1;2;4555;18;2
56238;2011;1;44;5;201;201;180;4;1;1;1;1;223;   ;-1;-1;3;4690;20;2
56242;2011;1;63;3;224;224;223;3;0;1;2;3;4876;B  ;-1;3;2;4876;69;1
56246;2011;1;56;5;288;288;242;3;0;0;0;0;900;C  ;8;4;2;7188;17;1
56247;2011;2;41;3;153;153;153;4;-1;-1;-1;-1;488;   ;-1;-1;2;497;20;1
56248;2011;1;37;3;147;147;124;2;0;0;0;0;2061;   ;;;;;;
56250;2011;2;38;5;280;280;204;3;0;1;1;3;1620;C  ;-1;5;2;3957;18;2
56252;2011;1;44;5;173;173;271;4;0;0;0;0;291;   ;-1;-1;3;291;20;1
56254;2011;1;54;2;285;285;201;3;0;0;0;0;1734;C  ;-1;4;3;1734;19;1
56255;2011;1;41;3;224;195;195;3;0;2;3;3;1833;C  ;-1;4;2;1833;18;1
56256;2011;1;32;3;223;76;76;2;0;0;0;0;8181;   ;;;;;;
56257;2011;2;57;1;237;223;237;3;3;8;9;11;1726;A  ;-1;2;1;1726;19;1
56259;2011;1;28;-1;-1;-1;107;4;0;0;0;0;585;   ;-1;-1;3;585;44;2
56260;2011;1;34;5;224;224;199;4;0;0;0;0;394;   ;-1;-1;3;394;20;2
56261;2011;1;31;3;224;224;224;4;3;3;3;3;5858;   ;-1;-1;3;436;21;1
56262;2011;2;39;5;51;51;49;4;0;0;0;0;488;   ;-1;-1;3;488;20;2
56263;2011;2;22;-1;-1;-1;284;2;0;0;0;0;711;   ;;;;;;
56264;2011;1;56;5;45;45;45;3;3;5;12;15;488;B  ;-1;3;1;491;20;1
56265;2011;1;30;3;271;249;49;4;1;2;2;2;4722;   ;-1;-1;2;711;17;1
56266;2011;2;52;5;262;262;107;4;1;2;4;4;5339;   ;-1;-1;3;5339;17;1
56268;2011;1;64;1;48;43;46;3;3;7;18;23;322;A  ;-1;2;1;322;17;2
56272;2011;1;36;2;248;1;257;4;0;0;0;0;4017;   ;-1;4;2;4017;20;2
56277;2011;1;49;2;31;31;48;3;0;1;1;1;5070;B  ;-1;3;3;491;20;1
56280;2011;2;48;5;254;254;254;4;0;0;0;0;1821;   ;-1;-1;2;1821;18;2
56281;2011;1;39;1;282;282;282;3;2;3;3;5;7467;C  ;-1;4;3;707;17;2
56283;2011;2;32;6;271;-1;154;2;0;0;0;0;711;   ;;;;;;
56285;2011;1;46;5;252;252;201;4;-1;-1;-1;-1;9843;   ;-1;-1;2;9843;17;1
56286;2011;2;25;7;-1;-1;24;2;0;0;0;0;7160;   ;;;;;;
56288;2011;1;52;3;107;75;262;3;0;0;1;1;7553;C  ;-1;4;2;7553;18;2
56289;2011;2;20;7;-1;-1;181;2;0;0;0;0;530;   ;;;;;;
56290;2011;1;29;5;288;288;288;3;0;0;0;0;3957;C  ;-1;4;3;3957;20;2
56291;2011;1;49;3;285;285;201;4;2;3;4;6;1829;   ;-1;-1;3;1829;20;2
56292;2011;2;39;2;271;131;131;3;15;23;25;36;9037;C  ;;;;;;
56293;2011;2;44;2;199;61;64;4;1;2;5;6;8785;   ;-1;-1;2;8785;18;2
56294;2011;2;28;7;-1;-1;64;4;0;0;0;0;402;   ;-1;-1;3;402;22;1
56296;2011;2;65;3;227;227;252;3;1;2;3;4;5045;A  ;-1;1;1;398;17;1
56298;2011;1;36;5;201;201;201;3;4;4;5;5;497;C  ;-1;4;2;497;18;1
56299;2011;1;61;2;155;154;154;3;2;5;8;17;286;C  ;-1;4;1;4798;17;1
56300;2011;1;47;5;271;271;271;4;0;0;0;0;5303;   ;-1;-1;3;3707;20;3
56301;2011;2;51;3;147;131;137;2;0;0;0;0;2062;   ;;;;;;
56302;2011;2;49;1;271;271;194;4;0;0;0;0;9460;   ;-1;-1;3;2071;17;3
56304;2011;2;52;5;199;199;199;4;0;0;0;0;4827;   ;-1;-1;2;4827;20;1
56306;2011;1;24;5;29;29;29;1;0;0;0;0;7273;D  ;;;;;;
56309;2011;2;62;3;271;148;270;4;0;0;0;0;9460;   ;-1;-1;2;192;19;2
56310;2011;2;40;5;64;64;64;2;-1;-1;-1;-1;575;   ;;;;;;
56311;2011;1;49;1;281;281;194;4;-1;-1;-1;-1;9460;   ;-1;-1;3;2071;17;3
56313;2011;2;48;1;227;-1;285;3;4;5;13;18;1092;A  ;-1;2;3;216;69;1
56314;2011;2;56;2;265;61;61;4;-1;-1;-1;-1;432;   ;-1;-1;3;432;20;1
56315;2011;1;26;5;250;250;51;2;0;0;0;0;711;   ;;;;;;
56316;2011;1;54;3;279;277;277;3;2;2;5;8;219;C  ;-1;4;3;1102;18;2
56317;2011;2;42;5;226;226;285;3;7;7;7;7;1380;S/D;-1;-1;2;339;46;2
56318;2011;2;31;5;288;288;288;2;0;0;0;0;9748;   ;;;;;;
56320;2011;1;49;5;271;271;271;4;0;0;0;0;678;   ;-1;-1;3;678;20;3
